dataset_id,author,downloads,likes,created_at,last_modified,tags
zjunlp/KnowEdit,zjunlp,491,23,2024-01-01 12:05:20+00:00,2024-04-24 00:40:12+00:00,"task_categories:text-generation,task_categories:question-answering,language:en,license:mit,arxiv:2401.01286,arxiv:2308.07269,arxiv:2305.13172,region:us,knowledge-editing,model-editing,large-language-model"
voidful/all_conv_data_filtered,voidful,485,0,2024-12-14 17:11:19+00:00,2024-12-14 17:30:34+00:00,"size_categories:100K<n<1M,format:parquet,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
weizhepei/TruthRL-MuSiQue,weizhepei,485,0,2025-10-20 03:00:05+00:00,2025-10-20 19:39:02+00:00,"size_categories:10K<n<100K,format:json,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
zake7749/deepseek-v4-pro-agent-tool-calling-trajectory,zake7749,485,0,2026-05-10 17:22:51+00:00,2026-05-10 18:07:51+00:00,"language:en,size_categories:1K<n<10K,format:parquet,format:optimized-parquet,modality:tabular,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,arxiv:2511.21689,region:us,tool-calling,function-calling,multi-turn,reasoning,agent,sft,rejection-sampling,deepseek"
voidful/set-dg,voidful,479,0,2023-05-24 13:30:11+00:00,2023-07-24 18:30:26+00:00,"language:en,size_categories:10K<n<100K,format:parquet,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
zake7749/Qwen3.6-35B-A3B-Tool-Calling,zake7749,461,1,2026-05-03 11:42:10+00:00,2026-05-10 19:20:04+00:00,"language:en,size_categories:10K<n<100K,format:parquet,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,region:us,tool,agent"
vwxyzjn/summarize_from_feedback_oai_preprocessing_1706373318,vwxyzjn,446,0,2024-01-27 16:37:57+00:00,2024-01-27 16:38:16+00:00,"size_categories:100K<n<1M,format:parquet,modality:tabular,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
zake7749/Qwen3-Coder-Next-Open-Code-SFT,zake7749,441,12,2026-03-14 08:22:23+00:00,2026-03-14 08:56:51+00:00,"task_categories:text-generation,language:en,license:cc-by-4.0,size_categories:10K<n<100K,format:parquet,modality:tabular,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,region:us,code,competitive-programming,rejection-sampling,sft,dpo,preference,python"
voidful/tw_parliament,voidful,430,0,2026-06-06 14:28:07+00:00,2026-06-06 18:19:38+00:00,"task_categories:automatic-speech-recognition,task_categories:text-to-speech,task_categories:audio-classification,language:zh,license:cc-by-nc-4.0,size_categories:100K<n<1M,format:parquet,modality:audio,modality:text,library:datasets,library:dask,library:polars,library:mlcroissant,region:us,Taiwan,Traditional Chinese,parliament,speech,ASR,TTS,Legislative Yuan"
weaviate/agents,weaviate,409,13,2025-02-17 17:06:43+00:00,2025-06-11 10:08:03+00:00,"license:bsd-3-clause,size_categories:10K<n<100K,format:parquet,modality:text,modality:timeseries,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
